allocation_id,employee_id,project_id,allocation_month,allocation_percentage,performance_rating
ALC00001,EMP0180,PRJ028,2026-01,75,4.5
ALC00002,EMP0170,PRJ089,2025-10,100,3.3
ALC00003,EMP0094,PRJ072,2025-10,25,4.4
ALC00004,EMP0499,PRJ086,2025-05,100,4.7
ALC00005,EMP0117,PRJ023,2026-03,25,4.4
ALC00006,EMP0186,PRJ032,2025-04,50,4.6
ALC00007,EMP0474,PRJ009,2026-11,50,3.8
ALC00008,EMP0003,PRJ052,2025-11,100,3.0
ALC00009,EMP0210,PRJ075,2026-03,50,4.8
ALC00010,EMP0052,PRJ043,2025-03,75,3.6
ALC00011,EMP0024,PRJ087,2026-09,50,4.4
ALC00012,EMP0145,PRJ020,2025-04,25,3.2
ALC00013,EMP0250,PRJ048,2026-03,75,3.2
ALC00014,EMP0017,PRJ087,2026-11,100,4.5
ALC00015,EMP0378,PRJ039,2026-05,50,3.8
ALC00016,EMP0485,PRJ016,2026-01,25,4.5
ALC00017,EMP0088,PRJ008,2025-11,50,3.3
ALC00018,EMP0467,PRJ038,2025-05,50,4.5
ALC00019,EMP0247,PRJ064,2025-02,100,3.6
ALC00020,EMP0298,PRJ054,2026-12,100,3.6
ALC00021,EMP0368,PRJ099,2025-06,25,4.8
ALC00022,EMP0382,PRJ006,2025-07,25,4.2
ALC00023,EMP0439,PRJ016,2025-09,25,3.9
ALC00024,EMP0019,PRJ080,2026-04,25,4.2
ALC00025,EMP0141,PRJ090,2026-04,50,3.4
ALC00026,EMP0180,PRJ016,2026-10,100,3.9
ALC00027,EMP0200,PRJ050,2026-03,25,4.2
ALC00028,EMP0453,PRJ074,2025-01,50,4.8
ALC00029,EMP0160,PRJ068,2025-09,50,3.1
ALC00030,EMP0363,PRJ086,2025-05,25,4.3
ALC00031,EMP0276,PRJ058,2025-02,50,4.7
ALC00032,EMP0209,PRJ064,2026-10,75,3.7
ALC00033,EMP0151,PRJ072,2025-03,25,3.2
ALC00034,EMP0173,PRJ083,2025-06,50,4.3
ALC00035,EMP0169,PRJ054,2026-08,50,4.9
ALC00036,EMP0111,PRJ063,2026-12,75,4.9
ALC00037,EMP0356,PRJ098,2025-03,75,3.6
ALC00038,EMP0212,PRJ099,2026-01,25,4.5
ALC00039,EMP0029,PRJ058,2026-06,25,3.6
ALC00040,EMP0081,PRJ063,2025-05,25,4.4
ALC00041,EMP0102,PRJ051,2025-09,75,4.1
ALC00042,EMP0305,PRJ008,2026-05,50,4.4
ALC00043,EMP0101,PRJ099,2026-08,25,3.2
ALC00044,EMP0307,PRJ016,2026-12,25,4.0
ALC00045,EMP0248,PRJ062,2026-11,75,3.9
ALC00046,EMP0031,PRJ091,2025-11,75,4.1
ALC00047,EMP0069,PRJ082,2026-08,75,4.9
ALC00048,EMP0057,PRJ096,2026-08,100,4.0
ALC00049,EMP0260,PRJ017,2026-09,100,4.0
ALC00050,EMP0012,PRJ095,2025-06,50,4.4
